"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","significant","direction"
"11717038_a_at",-0.0873999999999999,8.74869081632653,-1.89192631576713,0.0599708198362407,0.08542844928993,-5.98119944244961,"KIAA1530","Not Significant","NS"
"11735427_x_at",-0.0457438775510201,2.36432091836735,-1.89191283694599,0.0599726264472864,0.085428558688367,-5.9812245690528,"B4GALNT1","Not Significant","NS"
"11761758_at",-0.0543040816326529,2.15218163265306,-1.89184341473077,0.0599819320570747,0.0854393497900461,-5.98135398004423,"PAX1","Not Significant","NS"
"11761308_s_at",0.0613785714285714,2.78045357142857,1.89155566552974,0.0600205158869599,0.0854917493712818,-5.98189032882077,"CAMK2B","Not Significant","NS"
"11759960_a_at",-0.306869387755101,3.8881806122449,-1.89153622958945,0.060023122768606,0.0854917493712818,-5.98192655351467,"C6orf118","Not Significant","NS"
"11732075_s_at",0.21074693877551,2.55083367346939,1.89153034556286,0.0600239119932739,0.0854917493712818,-5.98193752008913,"GBP1","Not Significant","NS"
"11723122_at",-0.123988775510204,3.43127704081633,-1.89134103659937,0.0600493086379468,0.0855254551231042,-5.98229033419211,"C21orf7","Not Significant","NS"
"11752571_a_at",-0.0453397959183671,2.16970867346939,-1.8913081939703,0.0600537155374156,0.0855285958573272,-5.98235153935846,"GTDC1","Not Significant","NS"
"11759875_at",-0.0537224489795918,2.42334285714286,-1.89129878954549,0.0600549774945234,0.0855285958573272,-5.98236906515358,"TFAP2C","Not Significant","NS"
"11738757_at",0.0459224489795916,2.32502857142857,1.89086740876411,0.0601128872648493,0.0856086005669834,-5.98317288270407,"TRIM16 /// TRIM16L","Not Significant","NS"
"11760677_at",-0.0544387755102038,2.22731632653061,-1.89063391938297,0.0601442509918878,0.0856507967209369,-5.98360788365545,"PDIA6","Not Significant","NS"
"11749168_a_at",0.0350816326530611,1.87455306122449,1.89061441153024,0.0601468720251414,0.0856520594531036,-5.98364422529562,"TTC26","Not Significant","NS"
"11744359_s_at",0.085833673469388,7.525525,1.89041943880634,0.0601730733856275,0.0856869006724892,-5.98400742472813,"BCAT1","Not Significant","NS"
"11720151_a_at",0.145976530612244,3.96701581632653,1.89023794987937,0.060197471297952,0.0857170186775867,-5.98434547379308,"BCAT1","Not Significant","NS"
"11745601_a_at",0.0818948979591834,2.4184862244898,1.89023628708481,0.0601976948688847,0.0857170186775867,-5.98434857084093,"BCAT1","Not Significant","NS"
"11740630_a_at",-0.0440448979591835,2.1804387755102,-1.88975397544341,0.0602625733367104,0.0858069267329829,-5.98524679234897,"NDST2","Not Significant","NS"
"11741256_s_at",-0.072021428571428,2.50501479591837,-1.88951104527551,0.0602952733610046,0.0858510125474002,-5.98569912381706,"CDKL3","Not Significant","NS"
"11730068_a_at",-0.0415000000000001,2.03314489795918,-1.88923531949643,0.0603324058507944,0.0859014067735493,-5.98621245216594,"CDKL3","Not Significant","NS"
"11752071_a_at",-0.0515530612244894,2.56468673469388,-1.88907045194597,0.060354617986252,0.085930555074496,-5.98651935735451,"HNRNPF","Not Significant","NS"
