"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","significant","direction"
"11734133_a_at",-0.574089795918366,3.49278265306122,-6.14445754101646,4.37643448078539e-09,1.34789269266022e-08,9.56100560804836,"LTB4R","Not Significant","NS"
"11753112_x_at",0.217704081632652,2.71297959183673,6.14424030322145,4.38146041785128e-09,1.34935647415816e-08,9.55988255812163,"LTB4R","Not Significant","NS"
"11721953_a_at",0.311797959183672,4.50047653061224,6.14376947778382,4.39237270276e-09,1.35263277607099e-08,9.55744863346263,"NCKAP5","Not Significant","NS"
"11716054_at",0.453911224489795,3.98955459183673,6.14368898288553,4.39424099244635e-09,1.35312374144504e-08,9.55703252900017,"MYPN","Not Significant","NS"
"11751819_a_at",-0.181427551020408,2.60804336734694,-6.14359765485318,4.39636166318235e-09,1.35369235674246e-08,9.55656042899424,"MYPN","Not Significant","NS"
"11748715_a_at",0.366507142857142,5.09326887755102,6.14258900182069,4.41984980879223e-09,1.36083979212602e-08,9.55134673696888,"KLHL8","Not Significant","NS"
"11739343_a_at",-0.636518367346937,3.37374489795918,-6.14251712525483,4.4215282615698e-09,1.36127170828431e-08,9.55097523165806,"ZNF333","Not Significant","NS"
"11748864_a_at",0.280433673469387,2.77830459183673,6.1418909964331,4.43617600588806e-09,1.36569622382987e-08,9.54773911111571,"NDST3","Not Significant","NS"
"11734183_x_at",-0.784854081632652,11.3030525510204,-6.14168546106659,4.44099469384496e-09,1.36709445833215e-08,9.54667685890969,"NDST3","Not Significant","NS"
"11735413_x_at",0.443901020408162,5.65212295918367,6.14144846176579,4.44655741133172e-09,1.36872154273266e-08,9.54545202402584,"GPR133","Not Significant","NS"
"11725415_a_at",-0.24903469387755,7.6625387755102,-6.1412543268102,4.45111913032691e-09,1.37004032016407e-08,9.54444874000082,"GPR133","Not Significant","NS"
"11748873_x_at",-0.191867346938775,3.39616224489796,-6.14113619182324,4.4538972726405e-09,1.37080998820032e-08,9.54383823220363,"SYNE1","Not Significant","NS"
"11722365_a_at",0.377707142857141,6.44483418367347,6.14050505458807,4.46876835346007e-09,1.37530126443559e-08,9.5405767235669,"RGPD1 /// RGPD2 /// RGPD3","Not Significant","NS"
"11753465_a_at",-0.350933673469387,2.54940051020408,-6.14048393449132,4.46926683366324e-09,1.37536896714415e-08,9.54046758581381,"TLR7","Not Significant","NS"
"11716835_a_at",-0.487270408163264,8.27491785714286,-6.14032198818681,4.47309093085492e-09,1.37646002063182e-08,9.53963073939586,"TLR7","Not Significant","NS"
"11759080_at",-0.43766632653061,9.22481275510204,-6.13949932455949,4.49256638649523e-09,1.38236687578476e-08,9.53537991244809,"APOOL","Not Significant","NS"
"11718818_s_at",-0.445977551020407,5.81968979591837,-6.13938190344029,4.49535294555264e-09,1.38313812578072e-08,9.53477321129804,"CBLN3","Not Significant","NS"
"11716604_a_at",0.374548979591836,3.94308979591837,6.13913775697707,4.50115229158881e-09,1.3848362015475e-08,9.53351176032759,"LIX1L","Not Significant","NS"
"11723164_a_at",0.559832653061223,2.75056836734694,6.13839316395537,4.51888436121322e-09,1.39020508978307e-08,9.52966482219116,"MTRR","Not Significant","NS"
"11744379_a_at",0.910668367346936,10.2648076530612,6.13814537615214,4.52480046570552e-09,1.39193843153939e-08,9.52838469719289,"MTRR","Not Significant","NS"
"11739415_at",0.313366326530611,5.38899846938776,6.13807091956936,4.5265796512958e-09,1.39239901998689e-08,9.52800004534048,"MTRR","Not Significant","NS"
"11725272_a_at",0.425661224489795,2.84944081632653,6.13774482058464,4.5343800705175e-09,1.39471159792338e-08,9.52631541517979,"GLYAT","Not Significant","NS"
"11760505_s_at",-0.250718367346938,3.44263673469388,-6.13735956112326,4.54361261696789e-09,1.39746436259311e-08,9.52432523964676,"APAF1","Not Significant","NS"
"11731624_a_at",-0.467285714285713,7.59328979591837,-6.13733883719189,4.54410977748858e-09,1.39753023708464e-08,9.5242181862429,"ERCC4","Not Significant","NS"
"11762344_at",0.235366326530612,2.79387193877551,6.1370695709387,4.5505742400592e-09,1.39943121875312e-08,9.52282726253828,"ERCC4","Not Significant","NS"
"11746888_x_at",0.409059183673468,6.17797142857143,6.13704643526156,4.55113009485846e-09,1.39951501161071e-08,9.52270775464663,"TAF1C","Not Significant","NS"
"11722351_at",-0.339976530612245,7.31863316326531,-6.13696486251719,4.55309048233604e-09,1.4000306740592e-08,9.52228639112783,"ITGA2B","Not Significant","NS"
"11730106_a_at",0.992253061224487,6.62443469387755,6.13694573165669,4.55355036235894e-09,1.40008490969654e-08,9.52218757133286,"ITGA2B","Not Significant","NS"
"11721302_a_at",-0.809313265306121,7.936775,-6.13673595350235,4.55859613437415e-09,1.40154907982445e-08,9.52110398326513,"VIPR2","Not Significant","NS"
"11725706_s_at",-0.827501020408162,5.45663826530612,-6.13666440139278,4.56031842330633e-09,1.40199132005358e-08,9.5207343937438,"VIPR2","Not Significant","NS"
"11762388_at",-0.436266326530611,4.08073316326531,-6.13591740783715,4.57833701006489e-09,1.40744320933124e-08,9.51687610763479,"ZNF789","Not Significant","NS"
"11755426_x_at",0.281216326530612,8.76904795918367,6.13553430245502,4.5876051393476e-09,1.41020457744193e-08,9.51489745882186,"FGF19","Not Significant","NS"
"11715593_s_at",-0.240949999999999,10.0400790816327,-6.13514790974377,4.59697142880405e-09,1.41299577384027e-08,9.51290191656006,"PARL","Not Significant","NS"
"11747500_a_at",0.369171428571428,3.61620612244898,6.13509308730441,4.598301861133e-09,1.4133167520159e-08,9.51261879054664,"FAM71F1","Not Significant","NS"
"11719862_a_at",0.637713265306121,3.27256989795918,6.13463419348987,4.60945312399993e-09,1.41665599590429e-08,9.5102489381622,"IGFL1","Not Significant","NS"
"11746452_a_at",-0.211314285714285,3.9515612244898,-6.13394447282275,4.62626344380609e-09,1.42173395417428e-08,9.50668725923945,"SPRR2G","Not Significant","NS"
"11723095_a_at",-0.372301020408162,5.50994948979592,-6.13371441940015,4.63188381210631e-09,1.42337262114792e-08,9.50549933662661,"DEFB126","Not Significant","NS"
"11739207_x_at",0.342166326530611,4.37841989795918,6.13346686810248,4.63793914393273e-09,1.42514473968555e-08,9.50422109430266,"GLDN","Not Significant","NS"
"11726008_x_at",-0.174594897959183,2.31689132653061,-6.1332724444429,4.64270036616955e-09,1.42651900879518e-08,9.50321720346696,"GLDN","Not Significant","NS"
"11733551_at",0.926872448979589,3.03624540816327,6.13317634503294,4.64505550480944e-09,1.42715385815926e-08,9.50272100990762,"TMEM196","Not Significant","NS"
"11749633_a_at",0.197067346938775,3.03304795918367,6.13180965736085,4.67867641107863e-09,1.43739417255073e-08,9.49566491268402,"CNNM2","Not Significant","NS"
"11731430_a_at",-0.634871428571427,7.4587193877551,-6.13082068595966,4.70315406835863e-09,1.44482437683478e-08,9.49055959893563,"C1orf172","Not Significant","NS"
"11719160_at",-0.291042857142857,8.63920306122449,-6.12986985764227,4.72680602880412e-09,1.45200001578976e-08,9.48565171584769,"BCL2L15","Not Significant","NS"
"11716363_x_at",0.184154081632653,2.67429132653061,6.12959177621062,4.73374534912225e-09,1.454041222862e-08,9.48421644269379,"BCL2L15","Not Significant","NS"
"11744150_s_at",-0.416124489795917,6.64077653061224,-6.12898431209712,4.74893893506803e-09,1.4586174404333e-08,9.48108126677549,"FAM189A2","Not Significant","NS"
"11721693_a_at",0.357089795918366,9.5449612244898,6.12880566342927,4.75341629639884e-09,1.45990184834548e-08,9.48015928534388,"ESPN","Not Significant","NS"
"11734981_x_at",0.396791836734693,8.36087857142857,6.12866906676551,4.75684252613936e-09,1.46086328583992e-08,9.47945434087596,"PCDH11X /// PCDH11Y","Not Significant","NS"
"11721425_at",-0.193210204081632,3.3738612244898,-6.1284160886523,4.76319432676386e-09,1.46272301344087e-08,9.47814880623977,"EPSTI1","Not Significant","NS"
"11744702_a_at",-0.640430612244896,3.61334897959184,-6.12788716037634,4.77650159344232e-09,1.4667183217916e-08,9.47541930412524,"ACTL8","Not Significant","NS"
"11725242_at",-0.375005102040815,3.13832193877551,-6.12750238945068,4.78620491176459e-09,1.46960653924649e-08,9.47343381766918,"TFPI","Not Significant","NS"
"11760018_at",-0.163291836734693,2.50539795918367,-6.12742011639704,4.78828221557095e-09,1.4701529717015e-08,9.47300928504866,"MESP2","Not Significant","NS"
"11745587_x_at",0.334114285714285,3.49124795918367,6.12725630958108,4.79242078925537e-09,1.47133217144203e-08,9.47216404610138,"PPM1E","Not Significant","NS"
"11718081_a_at",-0.900225510204078,7.87528724489796,-6.12722329572752,4.79325530768332e-09,1.47149690200316e-08,9.47199369732478,"PPM1E","Not Significant","NS"
"11755433_x_at",0.372667346938775,4.75382040816327,6.12714084260053,4.7953401657525e-09,1.47202554639473e-08,9.47156824867269,"PPM1E","Not Significant","NS"
"11738064_at",0.250004081632652,2.55357755102041,6.12713161892571,4.79557344509474e-09,1.47202554639473e-08,9.4715206558131,"SLCO1A2","Not Significant","NS"
"11733350_at",-0.321770408163264,2.75955969387755,-6.12631880499475,4.81617437082568e-09,1.47825722484523e-08,9.46732684163898,"KIAA2022","Not Significant","NS"
"11734425_a_at",-0.280235714285713,2.83519234693878,-6.12575299002369,4.83056625668222e-09,1.48258246940842e-08,9.46440767212247,"KIAA2022","Not Significant","NS"
"11751796_a_at",0.532049999999999,2.92532397959184,6.1253130802613,4.84178478527213e-09,1.48593327992449e-08,9.46213820297504,"KIAA2022","Not Significant","NS"
"11731498_a_at",-0.276598979591836,3.02471887755102,-6.1250929434558,4.84740827446172e-09,1.48756667521635e-08,9.46100257139624,"UNC13C","Not Significant","NS"
"11751136_a_at",-0.270103061224489,2.99033928571429,-6.12471826065895,4.85699443566760e-09,1.49041585186952e-08,9.4590697388072,"UNC13C","Not Significant","NS"
"11753495_a_at",0.319890816326529,2.59294336734694,6.12430986075463,4.8674644108e-09,1.49353586450307e-08,9.45696306511967,"SEMA3D","Not Significant","NS"
"11740707_a_at",-0.240169387755101,7.44758163265306,-6.12425834724805,4.86878661125406e-09,1.493848754867e-08,9.4566973466864,"SEMA3D","Not Significant","NS"
"11754564_x_at",-0.397519387755101,2.72584132653061,-6.12415812018702,4.87136015474242e-09,1.49454552153885e-08,9.4561803569605,"PRR5L","Not Significant","NS"
"11747192_x_at",-0.301591836734693,6.50189387755102,-6.12404499194385,4.87426656583371e-09,1.49534431991716e-08,9.45559682745062,"PRR5L","Not Significant","NS"
"11740562_at",-0.172597959183673,2.8500806122449,-6.1238065392637,4.88039829348678e-09,1.49713243134442e-08,9.45436688291955,"LHFPL3","Not Significant","NS"
"11726769_a_at",-1.05957142857142,6.67672346938776,-6.12342659057726,4.89018417014171e-09,1.50004121382993e-08,9.45240716584098,"LHFPL3","Significant","Down"
"11739113_a_at",0.319562244897959,7.06113520408163,6.12309687286671,4.89869189734616e-09,1.50255759295906e-08,9.45070659934165,"TLR5","Not Significant","NS"
"11735046_at",-0.31348163265306,2.92760306122449,-6.12298160234328,4.90166965209124e-09,1.50337757693565e-08,9.4501120897109,"FIGN","Not Significant","NS"
"11745927_x_at",0.328029591836734,4.10622704081633,6.12262288393849,4.91094769408783e-09,1.50605785047042e-08,9.44826204222844,"AIM1L","Not Significant","NS"
"11730849_at",0.386141836734694,6.08848928571429,6.12262015157401,4.91101843112939e-09,1.50605785047042e-08,9.44824795066624,"TOR1AIP2","Not Significant","NS"
"11749291_a_at",-1.1746806122449,9.68353418367347,-6.12240632735208,4.91655713589991e-09,1.50766277996618e-08,9.44714521303268,"TOR1AIP2","Significant","Down"
"11756020_a_at",0.342698979591836,2.961425,6.12227548122979,4.91994947269446e-09,1.50860936705879e-08,9.44647042425483,"C16orf55","Not Significant","NS"
"11727623_at",-0.284655102040816,2.59950510204082,-6.12138999737349,4.94296705169554e-09,1.51557317200618e-08,9.4419041376893,"C16orf55","Not Significant","NS"
"11741757_a_at",-0.185903061224489,2.86654642857143,-6.12017183372099,4.97480502918498e-09,1.52524038472392e-08,9.43562301217848,"PTPRH","Not Significant","NS"
"11718835_x_at",0.344575510204081,5.27462448979592,6.11999951502779,4.97932495859518e-09,1.5265313949046e-08,9.43473456682529,"PTPRH","Not Significant","NS"
"11762365_x_at",0.415215306122448,4.28816887755102,6.11990219909363,4.98187933986313e-09,1.52721969632825e-08,9.43423283022197,"C15orf59","Not Significant","NS"
"11729620_at",0.212113265306122,2.30568112244898,6.11946477603055,4.9933768409976e-09,1.53064929966798e-08,9.43197765330069,"C2orf57","Not Significant","NS"
"11724614_at",0.201922448979591,3.53039693877551,6.11935188194091,4.99634844063574e-09,1.53146514454591e-08,9.43139563467637,"ARX","Not Significant","NS"
"11762553_x_at",-0.292598979591836,2.32129030612245,-6.1188462380935,5.00967929051815e-09,1.5354559761778e-08,9.42878890802135,"GGT6","Not Significant","NS"
"11753130_at",0.616762244897958,9.42885663265306,6.1185213694992,5.01826255390246e-09,1.53799127769037e-08,9.42711420242179,"CCL25","Not Significant","NS"
"11750012_a_at",0.285525510204081,3.367625,6.11839407209526,5.0216297734767e-09,1.53892775670444e-08,9.42645799764429,"GNB1L","Not Significant","NS"
"11719233_a_at",-0.643986734693875,4.0051443877551,-6.11815974568148,5.02783387364936e-09,1.54073345547312e-08,9.42525009378893,"MATN4","Not Significant","NS"
"11757643_x_at",0.895118367346936,7.65296428571429,6.11773522035641,5.03909288494773e-09,1.54408786508673e-08,9.42306183421622,"MATN4","Not Significant","NS"
"11749138_x_at",-0.265578571428571,3.67273316326531,-6.11771097600379,5.03973662499904e-09,1.54418930985359e-08,9.42293686731435,"INSL6","Not Significant","NS"
"11748844_a_at",0.33779693877551,3.78719642857143,6.11754208183405,5.04422336851014e-09,1.54546817592432e-08,9.42206631592849,"RNF151","Not Significant","NS"
"11735543_at",-0.323579591836734,2.91646836734694,-6.11731723157843,5.05020268604948e-09,1.54720415541712e-08,9.4209073687501,"TMEM132B","Not Significant","NS"
"11735429_x_at",-0.369230612244897,7.11510306122449,-6.11606904205275,5.08352165859308e-09,1.55731530693678e-08,9.41447434346928,"TMEM132B","Not Significant","NS"
"11736803_at",-0.278544897959183,2.60560102040816,-6.11601228034849,5.08504195841593e-09,1.55768441978867e-08,9.4141818213794,"EFHA2","Not Significant","NS"
"11726700_a_at",-0.296471428571428,7.2957806122449,-6.11567523940743,5.09407841472013e-09,1.5603557439023e-08,9.41244491505142,"SHOX2","Not Significant","NS"
"11728153_x_at",-0.651258163265305,6.28035153061225,-6.11534446408677,5.10296218829865e-09,1.56297997166533e-08,9.41074036121495,"SHOX2","Not Significant","NS"
"11729510_a_at",-0.401506122448979,3.65972244897959,-6.11520446048531,5.10672689773357e-09,1.56403605935796e-08,9.41001891249109,"SHOX2","Not Significant","NS"
"11736581_a_at",0.557483673469386,4.25410408163265,6.11450690301936,5.12552489769942e-09,1.56969597294917e-08,9.40642451553364,"ELFN2","Not Significant","NS"
"11749792_a_at",-0.57078163265306,3.90029387755102,-6.11408777648884,5.13685225907357e-09,1.57306743763011e-08,9.40426496066249,"TDRD6","Not Significant","NS"
"11761896_x_at",0.314944897959183,2.70055306122449,6.11387277929086,5.14267231727413e-09,1.57475207751054e-08,9.40315722386732,"MATK","Not Significant","NS"
"11742437_a_at",0.213305102040816,3.86281173469388,6.11386082871829,5.14299601352509e-09,1.5747535564756e-08,9.40309565133489,"DLK2","Not Significant","NS"
"11748921_a_at",0.391365306122448,4.38067755102041,6.11333086897675,5.15737073819713e-09,1.57905710648855e-08,9.40036523987845,"ALX1","Not Significant","NS"
"11729448_a_at",-0.370745918367346,5.50161173469388,-6.11294818195571,5.16777529307776e-09,1.58208181654854e-08,9.39839369388575,"RPUSD3","Not Significant","NS"
"11759560_s_at",-0.593742857142856,6.92291734693878,-6.11294394997263,5.1678904678575e-09,1.58208181654854e-08,9.39837189181428,"ZFR2","Not Significant","NS"
"11756998_s_at",0.396435714285712,5.80477908163265,6.11286286659339,5.1700976641287e-09,1.58265941387628e-08,9.39795417340522,"TUSC5","Not Significant","NS"
"11749728_a_at",0.355399999999999,5.62697346938775,6.11205107727772,5.19224664188822e-09,1.589341097411e-08,9.39377227439399,"NTF4","Not Significant","NS"
"11753501_a_at",-0.284125510204081,3.20150765306122,-6.11200970518975,5.19337793164761e-09,1.58958885982243e-08,9.39355915791083,"DEFB129","Not Significant","NS"
"11748577_a_at",0.267010204081632,5.57032755102041,6.11197638675229,5.19428917582443e-09,1.58976924415757e-08,9.39338752821885,"AURKC","Not Significant","NS"
"11732583_x_at",-0.338052040816325,5.91425051020408,-6.11138489929283,5.21049220463829e-09,1.5946295347231e-08,9.39034076822915,"SCGBL","Not Significant","NS"
"11717215_a_at",0.584393877551019,6.57534489795918,6.11131752043251,5.21234110144413e-09,1.59509652767332e-08,9.38999371151978,"ZDBF2","Not Significant","NS"
"11725868_at",-0.265918367346938,2.98932040816327,-6.11105132193629,5.21965196251138e-09,1.59723484615272e-08,9.38862259513224,"GRHL2","Not Significant","NS"
"11723201_s_at",0.395062244897958,4.90483520408163,6.11092820984832,5.22303650487171e-09,1.59817150452041e-08,9.387988491832,"GRHL2","Not Significant","NS"
"11740598_x_at",0.28538469387755,2.78385459183673,6.11024263270713,5.24192346970786e-09,1.60385126370728e-08,9.38445750496432,"GRHL2","Not Significant","NS"
"11750112_a_at",0.347074489795917,4.19432193877551,6.10996470141724,5.2495992571343e-09,1.60610029062591e-08,9.38302612830987,"GRHL2","Not Significant","NS"
"11720286_a_at",-0.437746938775509,7.26498265306122,-6.10935161401313,5.26657022358703e-09,1.6111926969093e-08,9.37986881745934,"LGSN","Not Significant","NS"
"11751591_s_at",0.355403061224489,3.94059846938775,6.10872638959365,5.28393254478811e-09,1.61640419138321e-08,9.37664922469388,"LGSN","Not Significant","NS"
"11763266_at",-0.380515306122448,5.38689744897959,-6.10856597527914,5.28839624632294e-09,1.61766947674763e-08,9.37582320741099,"LGSN","Not Significant","NS"
"11723147_a_at",-0.691530612244896,3.52925306122449,-6.10830189481308,5.29575262331256e-09,1.61981939213994e-08,9.37446341683451,"GDF9","Not Significant","NS"
"11747296_a_at",-0.289183673469387,4.23566326530612,-6.1079006000598,5.3069505278588e-09,1.62314398197086e-08,9.37239716553555,"SERTAD4","Not Significant","NS"
"11722814_s_at",0.473883673469386,5.41882040816327,6.10768000489998,5.31311599508491e-09,1.62492907191766e-08,9.37126136885231,"GTPBP8","Not Significant","NS"
"11746908_a_at",0.333213265306122,5.98247806122449,6.10709108228126,5.32961035117045e-09,1.62987266581772e-08,9.3682292705987,"TMEM116","Not Significant","NS"
"11718543_at",0.443790816326529,4.46295255102041,6.10671853912917,5.34007032945259e-09,1.63297036093093e-08,9.36631131582952,"SLC35A2","Not Significant","NS"
"11742985_at",-0.357524489795917,3.15282755102041,-6.10649763515902,5.34628220159347e-09,1.63476870043895e-08,9.36517407893881,"EPHA8","Not Significant","NS"
"11746386_a_at",0.160126530612244,2.19364285714286,6.105414459772,5.37684401823947e-09,1.64401200275368e-08,9.35959818319741,"EPHA8","Not Significant","NS"
"11742078_a_at",0.381045918367346,2.59202193877551,6.10524889088316,5.38153061249589e-09,1.64534309929253e-08,9.35874593837071,"PSMG4","Not Significant","NS"
"11732118_a_at",0.424856122448979,6.86838418367347,6.10505046262594,5.38715259976564e-09,1.64695999933159e-08,9.35772457483951,"C16orf13","Not Significant","NS"
"11748189_a_at",0.231071428571428,3.23529489795918,6.10502132543397,5.38797861661887e-09,1.64711056614262e-08,9.35757459978944,"C16orf13","Not Significant","NS"
"11732906_a_at",-0.669171428571427,5.36947040816327,-6.10476058985804,5.39537579706235e-09,1.64926980139714e-08,9.35623256246171,"SPAG16","Not Significant","NS"
"11755421_a_at",-0.29147857142857,4.69822295918367,-6.10451822708642,5.40226066027247e-09,1.65127217285521e-08,9.3549851271481,"CXorf27","Not Significant","NS"
"11749878_a_at",0.364239795918366,3.271025,6.10440709603508,5.40542046848807e-09,1.65213575477628e-08,9.35441314959079,"TRIM67","Not Significant","NS"
"11744627_x_at",0.234509183673469,6.33724336734694,6.10403569020205,5.41599386489619e-09,1.65526501028383e-08,9.35250162185931,"TMEM170B","Not Significant","NS"
"11745861_a_at",0.448638775510203,2.77172551020408,6.10272885608265,5.45335899420752e-09,1.66658160450453e-08,9.34577632115488,"SCUBE1","Not Significant","NS"
"11735718_a_at",0.179636734693877,2.5184806122449,6.10235027775579,5.46423046697536e-09,1.6698006672981e-08,9.34382824393586,"KCND1","Not Significant","NS"
"11761804_at",-0.252433673469387,2.83418112244898,-6.10159949978399,5.48585311718425e-09,1.67630455417189e-08,9.339965156113,"SLC4A5","Not Significant","NS"
"11739354_x_at",0.579903061224489,6.00908112244898,6.1014398354811,5.49046230456007e-09,1.67760917758463e-08,9.33914365372729,"SLC4A5","Not Significant","NS"
"11728297_a_at",0.324099999999999,5.41491326530612,6.10142052047418,5.49102014729431e-09,1.67767582896731e-08,9.33904427543471,"ZNF365","Not Significant","NS"
"11736908_at",-0.272904081632652,4.6896387755102,-6.1010412748256,5.50198452073288e-09,1.68092179115938e-08,9.33709304927044,"NUP210L","Not Significant","NS"
"11722416_a_at",-0.246283673469387,2.43354489795918,-6.10073579070589,5.51083197718916e-09,1.68352064843167e-08,9.33552138764675,"KY","Not Significant","NS"
"11756310_a_at",0.233098979591836,2.52367602040816,6.10055127967573,5.51618255481565e-09,1.6850509782404e-08,9.33457213707445,"NXPH2","Not Significant","NS"
"11757870_a_at",-0.227038775510203,2.4847306122449,-6.10053508694574,5.51665236571195e-09,1.68509026306934e-08,9.33448883156138,"NXPH2","Not Significant","NS"
"11743025_at",0.368468367346937,5.90543520408163,6.10037221715895,5.52138000151008e-09,1.68643003744559e-08,9.33365093606357,"NUP98","Not Significant","NS"
"11739937_a_at",0.396627551020407,2.96585969387755,6.1003514801243,5.5219822222004e-09,1.68650967239078e-08,9.33354425396951,"KRT31","Not Significant","NS"
"11721386_s_at",0.238363265306122,3.30923265306122,6.09988334931188,5.53559427495184e-09,1.69056248137265e-08,9.33113601125437,"MGAM","Not Significant","NS"
"11724205_x_at",0.185774489795917,9.87508724489796,6.0993292182882,5.55174950878898e-09,1.69539142493849e-08,9.32828551345552,"MGAM","Not Significant","NS"
"11728720_at",-0.757720408163263,4.30515714285714,-6.09907540975878,5.55916451063667e-09,1.69755084722873e-08,9.32697995937157,"KCNE1","Not Significant","NS"
"11720789_at",0.384533673469387,5.89938418367347,6.09875600005169,5.56850984396666e-09,1.70029941359056e-08,9.32533701497589,"KCNE1","Not Significant","NS"
"11718824_at",-0.459171428571428,6.85437857142857,-6.09813231237462,5.58680219688619e-09,1.70577937122363e-08,9.3221291280905,"CLEC4G","Not Significant","NS"
"11748017_a_at",-0.400147959183672,5.31537295918367,-6.09778382376979,5.59704877702688e-09,1.70880224346099e-08,9.32033680258835,"CLEC4G","Not Significant","NS"
"11754809_a_at",0.212098979591837,6.27219132653061,6.09764918338847,5.60101252787704e-09,1.70990668666462e-08,9.31964434701392,"CLEC4G","Not Significant","NS"
"11717452_x_at",-0.357655102040815,8.00659693877551,-6.09703900650391,5.61901037186697e-09,1.7152951305787e-08,9.31650633743789,"LYZL6","Not Significant","NS"
"11715877_s_at",0.33289693877551,10.7448321428571,6.09671791490408,5.62850407646254e-09,1.71808704073292e-08,9.31485511773504,"LRRC29","Not Significant","NS"
"11751632_a_at",0.139925510204081,2.47681275510204,6.09666023301989,5.63021121994449e-09,1.71850192403077e-08,9.31455849381823,"IGFN1","Not Significant","NS"
"11722436_a_at",0.324439795918366,5.05799948979592,6.09623253239041,5.64288522013213e-09,1.7222639483434e-08,9.31235914133616,"IGFN1","Not Significant","NS"
"11746988_a_at",0.482602040816325,4.24002448979592,6.09601886745637,5.64922719741694e-09,1.72409303158839e-08,9.3112604577506,"NFATC1","Not Significant","NS"
"11752493_a_at",-0.327501020408162,2.79898418367347,-6.09568888676065,5.65903537453696e-09,1.72697967624595e-08,9.30956372000175,"TMEM72","Not Significant","NS"
"11755986_a_at",0.42213469387755,3.10323469387755,6.09544776099628,5.66621302613481e-09,1.72906325079519e-08,9.30832390769449,"KLK8","Not Significant","NS"
"11738185_s_at",-0.621377551020407,3.78052346938775,-6.09543096832843,5.66671322995829e-09,1.72910904896336e-08,9.3082375649671,"NR2E3","Not Significant","NS"
"11747398_a_at",-0.651099999999999,6.67153775510204,-6.09503264419409,5.67859082356155e-09,1.73262625980731e-08,9.30618955244046,"TRYX3","Not Significant","NS"
"11744671_x_at",0.28324081632653,8.77655,6.09465444425899,5.68989091805432e-09,1.73596684301619e-08,9.30424509435763,"EDN2","Not Significant","NS"
"11721356_s_at",-0.585874489795917,7.03900663265306,-6.09440576404611,5.69733314924153e-09,1.73813006491501e-08,9.30296658725491,"GRXCR1","Not Significant","NS"
"11735452_at",0.252603061224489,2.81021785714286,6.09429648405968,5.70060657881909e-09,1.73902128915659e-08,9.30240477157612,"MBD2","Not Significant","NS"
"11724696_a_at",-0.257484693877551,2.43642193877551,-6.09424704084722,5.70208823219239e-09,1.73936583962355e-08,9.30215058298814,"MBD2","Not Significant","NS"
"11757411_x_at",0.323595918367346,9.15572551020408,6.0937322614748,5.71753694834054e-09,1.74397059928816e-08,9.29950417497644,"PYHIN1","Not Significant","NS"
"11715780_x_at",0.266664285714284,9.11271581632653,6.09313569704584,5.7354913883979e-09,1.74933904216538e-08,9.29643751214553,"PIAS2","Not Significant","NS"
"11734857_at",-0.645674489795917,5.54841887755102,-6.09303278388943,5.73859428770286e-09,1.75017734510278e-08,9.29590850372733,"STXBP5L","Not Significant","NS"
"11757955_s_at",-0.239972448979591,2.75977908163265,-6.09299650576076,5.7396884893183e-09,1.75040296241493e-08,9.29572202333244,"SLITRK1","Not Significant","NS"
"11756521_a_at",-0.244864285714285,7.56913112244898,-6.09292813481865,5.74175121320312e-09,1.75092389882834e-08,9.2953705783677,"SLITRK1","Not Significant","NS"
"11756874_a_at",1.23336428571428,3.30129030612245,6.0926983285368,5.74868970339531e-09,1.75293152440035e-08,9.29418933219697,"C9orf68","Significant","Up"
"AFFX-PheX-3_at",-0.441814285714285,6.1324112244898,-6.09224678310745,5.76234706193180e-09,1.75698754090612e-08,9.29186839486186,"C9orf68","Not Significant","NS"
"11756553_a_at",0.356102040816326,8.6757387755102,6.09200389441179,5.76970657709523e-09,1.75912291033723e-08,9.29061999878842,"MAGEA2 /// MAGEA2B","Not Significant","NS"
"11740939_x_at",0.321499999999999,5.23794081632653,6.09185615598109,5.77418754940988e-09,1.76038043283632e-08,9.28986067137181,"NEUROD4","Not Significant","NS"
"11739475_s_at",0.340541836734693,7.62118112244898,6.09179484450952,5.77604815498272e-09,1.76083897643196e-08,9.28954555406252,"TBX6","Not Significant","NS"
"11736809_a_at",0.215315306122448,2.71673112244898,6.09113867137627,5.79599773028645e-09,1.76681157896381e-08,9.28617321271442,"TBX6","Not Significant","NS"
"11718643_a_at",0.547538775510203,4.79168775510204,6.09109389711492,5.79736145699163e-09,1.76711821327607e-08,9.28594310855082,"HIC1","Not Significant","NS"
"11744100_a_at",-0.396212244897958,6.99448673469388,-6.09098188073077,5.80077461043245e-09,1.76804561367979e-08,9.28536743830137,"ITPRIPL1","Not Significant","NS"
"11730870_a_at",0.335320408163264,5.80296836734694,6.09097054969696,5.80111997814508e-09,1.76804561367979e-08,9.28530920669464,"DUSP10","Not Significant","NS"
"11716263_s_at",-0.381572448979591,7.8364556122449,-6.0909324125312,5.8022825396399e-09,1.76829080840886e-08,9.28511321554971,"SPDYA","Not Significant","NS"
"11730183_s_at",-0.255318367346938,2.79276020408163,-6.09073463608905,5.80831515895955e-09,1.77002006935935e-08,9.2840968337932,"ABCC11","Not Significant","NS"
"11723424_at",-0.374330612244896,6.14541326530612,-6.09042219859867,5.81785772315572e-09,1.77281866795686e-08,9.2824912497653,"CNST","Not Significant","NS"
